date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:23:59	63405/63405	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Sep%202024%2021:23:57%20GMT	https://webbiit.com/	C:/My%20Web%20Sites/webbit/webbiit.com/index.html	(from )
22:24:00	112/112	---MC-	200	added ('OK')	text/plain	date:Tue,%2017%20Sep%202024%2021:24:01%20GMT	https://webbiit.com/robots.txt		(from )
22:24:06	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2017%20Sep%202024%2021:24:08%20GMT	https://webbiit.com/xmlrpc.php	C:/My%20Web%20Sites/webbit/webbiit.com/xmlrpc.0.delayed	(from https://webbiit.com/)
22:24:09	230670/230670	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2017%20Sep%202024%2021:24:08%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/webbit/connect.facebook.net/en_US/fbevents.js	(from https://webbiit.com/)
22:24:13	765/765	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2017%20Sep%202024%2008:58:30%20GMT	https://webbiit.com/comments/feed/	C:/My%20Web%20Sites/webbit/webbiit.com/comments/feed/index.html	(from https://webbiit.com/)
22:24:16	28425/28425	---M--	200	added ('OK')	text/css	date:Sun,%2030%20Jul%202023%2021:12:39%20GMT	https://webbiit.com/wp-content/plugins/formcraft3/dist/formcraft-common.css?ver=3.6	C:/My%20Web%20Sites/webbit/webbiit.com/wp-content/plugins/formcraft3/dist/formcraft-common039c.css	(from https://webbiit.com/)
22:24:16	43223/43223	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2017%20Sep%202024%2008:58:30%20GMT	https://webbiit.com/feed/	C:/My%20Web%20Sites/webbit/webbiit.com/feed/index.html	(from https://webbiit.com/)
22:24:25	63828/63828	---M--	200	added ('OK')	text/css	date:Sun,%2030%20Jul%202023%2021:12:39%20GMT	https://webbiit.com/wp-content/plugins/formcraft3/dist/form.css?ver=3.6	C:/My%20Web%20Sites/webbit/webbiit.com/wp-content/plugins/formcraft3/dist/form039c.css	(from https://webbiit.com/)
22:24:26	15050/15050	---M--	200	added ('OK')	text/css	date:Mon,%2003%20Apr%202023%2012:29:32%20GMT	https://webbiit.com/wp-content/plugins/wow-carousel-for-divi-lite/assets/css/core.min.css?ver=1.2.12	C:/My%20Web%20Sites/webbit/webbiit.com/wp-content/plugins/wow-carousel-for-divi-lite/assets/css/core.mind115.css	(from https://webbiit.com/)
22:24:26	113381/113381	---M--	200	added ('OK')	text/css	date:Fri,%2003%20May%202024%2021:25:08%20GMT	https://webbiit.com/wp-includes/css/dist/block-library/style.min.css?ver=6.5.5	C:/My%20Web%20Sites/webbit/webbiit.com/wp-includes/css/dist/block-library/style.minadc6.css	(from https://webbiit.com/)
